Title,Link,Content
LAHORE:IG Punjab Dr Usman Anwar has said the visit of Netherland's OHC Bully hockey club team to Pakistan is definitely a great development.23 hours ago,https://www.thenews.com.pk/print/1159407-pakistan-safe-country-for-tourism-investment-igp,"LAHORE:IG Punjab Dr Usman Anwar has said the visit of Netherland’s OHC Bully hockey club team to Pakistan is definitely a great development. This tour will certainly play a key role in highlighting Pakistan’s soft image among the world community and now it has proved that Pakistan is a safe country for tourism and investment. He said this while talking to media at the first game of three-match series between Higher Education Commission (HEC) and Netherland’s OHC Bully hockey club teams at the National Hockey Stadium on Monday. IG Punjab further said that police department has a close attachment with sports particularly hockey for a long time. “Legendary cricketer late Fazal Mehmood, Olympians Munir Dar and Zaka ud Din were part of police hockey team. Police hockey team has won 14 medals in multiple national level hockey tournaments”. Dr Asif Tufail further said that Punjab Sports Department has laid modern FIH-approved turf at the National Hockey Stadium and we are quite confident to host more international hockey teams at this venue."
PESHAWAR: Hundreds of tourists and the local community have suffered due to heavy snowfall in Swat that kept the Kalam-Bahrain road blocked...23 hours ago,https://www.thenews.com.pk/print/1159322-tourists-suffer-as-snow-blocks-roads-in-kalam,"PESHAWAR: Hundreds of tourists and the local community have suffered due to heavy snowfall in Swat that kept the Kalam-Bahrain road blocked for the past two days. This has prompted the local people to criticize the Upper Swat Development Authority and National Highways Authority as well as the local administration for failing to clear the road.Tourists thronged Kalam Valley in upper Swat to enjoy the snowfall along with their families. Most of the tourists came to Kalam from Punjab, Khyber Pakhtunkhwa, and Sindh and they had planned to enjoy the snowfall.According to the tourists, they planned their trip following the assurance from the hotels that the Upper Swat Development Authority, NHA, and the district administration had made proper arrangements for clearing the Bahrain-Kalam Road from snow to enable the tourists and local community travel between Kalam and downtowns."
ISLAMABAD: Prime Minister Shahbaz Sharif on Friday inaugurated a new project to promote Pakistan's tourist attractions across the world and...6 months ago,https://www.arabnews.pk/node/2349691/pakistan,"https://arab.news/vt2pe 
	ISLAMABAD: Prime Minister Shahbaz Sharif on Friday inaugurated a new project to promote Pakistan’s tourist attractions across the world and provide authentic information about them to foreign travelers interested in visiting the country, the state-owned Associated Press of Pakistan (APP) news agency reported. 
	Named “Salam Pakistan,” the tourism brand will focus on building the country’s image as a safe, secure, friendly, and hospitable place with attractive tourism destinations, including scenic mountains, lakes, and sites of deep cultural, religious, and historical significance."
"Following a strong 2023, international tourism is well on track to return to pre-pandemic levels in 2024. According to the first UNWTO World...1 month ago",https://www.unwto.org/news/international-tourism-to-reach-pre-pandemic-levels-in-2024,"
Following a strong 2023, international tourism is well on track to return to pre-pandemic levels in 2024.
 According to the first UNWTO World Tourism Barometer of the year, international tourism ended 2023 at 88% of pre-pandemic levels, with an estimated 1.3 billion international arrivals. The unleashing of remaining pent-up demand, increased air connectivity, and a stronger recovery of Asian markets and destinations, are expected to underpin a full recovery by the end of 2024. The latest UNWTO World Tourism Barometer provides a comprehensive overview of the sector's performance in 2023, tracking recovery by global region, sub-region and destination. Key takeaways include:"
Rawalpindi:The Murree district administration has urged the tourists to get weather updates and traffic-related information prior to...1 day ago,https://www.thenews.com.pk/print/1159063-tourists-asked-to-get-weather-updates-before-visiting-murree,"Rawalpindi:The Murree district administration has urged the tourists to get weather updates and traffic-related information prior to traveling to Murree and also advised the tourists to take all due precautions in Murree, Galiyat and surrounding areas. According to a Murree district administration spokesman, the administration on the special directives of Deputy Commissioner (DC) Murree, Zaheer Abbas Sherazi had finalized all arrangements for snowfall season. The tourists were being given information about weather updates and travel advisories at all entry points of Murree, he added. The tourists had also been requested to follow the instructions being given at the entry points, he said adding, that strict action by the law was also being taken against parking rules violators. Murree District Administration had set up a special control room to facilitate the people, particularly tourists, he added. The control room was working round the clock under the supervision of senior officers."
"As the climate crisis threatens the tourist industry and the communities who depend on it, greening the tourism sector is the only way...4 months ago",https://news.un.org/en/story/2023/09/1141567,"Facebook
Twitter
Print
Email
 As the climate crisis threatens the tourist industry and the communities who depend on it, greening the tourism sector is the only way forward. That’s the message from UN chief António Guterres on World Tourism Day observed on Wednesday."
International tourism is on track to recover almost 90% of pre-pandemic levels by the end of this year. According to the latest data from...2 months ago,https://www.unwto.org/news/international-tourism-to-end-2023-close-to-90-of-pre-pandemic-levels,"
International tourism is on track to recover almost 90% of pre-pandemic levels by the end of this year. According to the latest data from the World Tourism Organization (UNWTO), an estimated 975 million tourists travelled internationally between January and September 2023, an increase of 38% on the same months of 2022.
 The newest UNWTO World Tourism Barometer also shows: 
The latest UNWTO data shows that international tourism has almost completely recovered from the unprecedented crisis of COVID-19 with many destinations reaching or even exceeding pre-pandemic arrivals and receipts
"
"The John Wick Experience, set to open at Area15 in Las Vegas, promises to immerse participants in the thrilling world of Keanu Reeves'...4 days ago",https://www.thenews.com.pk/latest/1158187-step-into-the-world-of-assassins-las-vegas-set-to-open-interactive-john-wick-tourist-attraction,"The John Wick Experience, set to open at Area15 in Las Vegas, promises to immerse participants in the thrilling world of Keanu Reeves' iconic super-assassin. Spanning a massive 12,000 square feet, this interactive attraction will transport visitors into the heart of The Continental hotel, the notorious haven for the criminal underworld depicted in the hit franchise.  Alongside a themed bar and retail shop, fans will have the opportunity to step into the shoes of John Wick himself and ""live out the fantasy, action, and danger"" portrayed in the films."
The latest UNWTO data shows that international tourism has almost completely recovered from the unprecedented crisis of COVID-19 with many...2 months ago,https://www.unwto.org/un-tourism-news-international-tourism-to-end-2023-close-to-90-of-pre-pandemic,"International tourism to end 2023 close to
90% of pre-pandemic levels International tourism is on track to recover almost 90% of pre-pandemic levels by the end of this year. According to the latest data from the World Tourism Organization (UNWTO), an estimated 975 million tourists travelled internationally between January and September 2023, an increase of 38% on the same months of 2022. At the 2023 UN Climate Change Conference (COP28), UNWTO brought together sector leaders to showcase the progress made in implementing the Glasgow Declaration for Climate Action on Tourism. In time for the world's most important climate conference, the Declaration has been officially included in the Global Climate Action Portal of UNFCCC."
ISLAMABAD: Caretaker Prime Minister Anwaar-ul-Haq Kakar on Saturday said that Pakistan and the United Arab Emirates enjoyed strong brotherly...2 weeks ago,https://www.thenews.com.pk/print/1154481-kakar-seeks-uae-cooperation-in-aviation-tourism-sectors,"ISLAMABAD: Caretaker Prime Minister Anwaar-ul-Haq Kakar on Saturday said that Pakistan and the United Arab Emirates enjoyed strong brotherly ties which were being further strengthened with time. He said Pakistan highly valued the UAE’s firm support to its economic and investment sectors. The prime minister was talking to UAE Minister for Foreign Trade Dr Thani bin Ahmed Al Zeyoudi who called on him, PM Office Media Wing said in a press release. The caretaker prime minister said that during his recent visit to the UAE, both the countries had signed MoUs which would open a new era of economic cooperation between the two countries."
